2919;0:0:0,!,0.00000,0.00000,0.00;25.3,101324,0;0.38,0.06,9.47,27.0,5.56,-1.79,0.54;-154,-169,-631;24.50,24.50,24.50,24.50
2917;0:0:0,!,0.00000,0.00000,0.00;25.2,101309,1;0.38,0.12,9.35,27.0,5.56,-1.79,0.42;-154,-166,-632;24.50,24.50,24.50,24.50
4641;0:0:0,!,0.00000,0.00000,0.00;25.2,101313,1;0.39,0.12,9.44,26.9,5.68,-1.91,0.42;-153,-169,-633;24.50,24.50,24.50,24.50
6367;0:0:0,!,0.00000,0.00000,0.00;25.3,101309,1;0.40,0.06,9.45,27.0,5.74,-1.79,0.42;-154,-168,-634;24.50,24.50,24.50,24.50
8092;0:0:0,!,0.00000,0.00000,0.00;25.3,101310,1;0.46,0.13,9.42,26.9,5.56,-1.68,0.42;-149,-167,-635;24.50,24.50,24.50,24.50
9824;0:0:0,!,0.00000,0.00000,0.00;25.2,101315,1;0.35,0.13,9.43,26.9,5.74,-1.79,0.60;-154,-168,-636;24.50,24.50,24.50,24.50
11581;0:0:0,!,0.00000,0.00000,0.00;25.3,101317,1;0.43,0.14,9.40,27.0,5.50,-1.79,0.54;-156,-165,-635;24.50,24.50,24.50,24.50
13341;0:0:0,!,0.00000,0.00000,0.00;25.3,101315,1;0.39,0.14,9.38,26.9,5.62,-2.03,0.48;-154,-168,-636;24.50,24.50,24.50,24.50
15099;0:0:0,!,0.00000,0.00000,0.00;25.3,101317,1;0.42,0.09,9.36,27.0,5.74,-2.27,0.48;-153,-168,-634;24.50,24.50,24.50,24.50
3441;0:0:0,!,0.00000,0.00000,0.00;25.3,101315,1;0.41,0.09,9.45,25.9,5.56,-1.74,0.66;-159,-179,-632;24.50,24.50,24.50,24.50
5728;0:0:0,!,0.00000,0.00000,0.00;25.2,101313,1;0.41,0.09,9.36,26.0,5.74,-1.97,0.54;-159,-176,-633;24.50,24.50,24.50,24.50
2918;0:0:0,!,0.00000,0.00000,0.00;25.2,101318,1;0.38,0.14,9.44,26.9,5.56,-1.97,0.48;-159,-177,-633;24.25,24.50,24.50,24.25
4654;0:0:0,!,0.00000,0.00000,0.00;25.2,101309,1;0.40,0.13,9.45,26.9,5.56,-2.03,0.36;-157,-179,-633;24.25,24.50,24.50,24.25
6386;0:0:0,!,0.00000,0.00000,0.00;25.2,101309,1;0.42,0.14,9.38,26.9,5.74,-1.62,0.36;-158,-177,-631;24.25,24.50,24.50,24.25
8112;0:0:0,!,0.00000,0.00000,0.00;25.2,101306,2;0.40,0.13,9.37,26.9,5.56,-1.74,0.54;-158,-176,-632;24.25,24.50,24.50,24.25
9836;0:0:0,!,0.00000,0.00000,0.00;25.2,101312,1;0.41,0.11,9.40,27.0,5.98,-2.21,0.54;-157,-172,-630;24.25,24.50,24.50,24.25
2964;0:0:0,!,0.00000,0.00000,0.00;25.6,101630,-25;0.57,0.22,9.30,26.2,5.62,-1.97,0.54;14,-505,-521;25.00,25.25,25.25,25.00
5262;0:0:0,!,0.00000,0.00000,0.00;25.6,101627,-25;0.58,0.23,9.40,26.4,5.62,-1.68,0.54;10,-506,-519;25.00,25.25,25.25,25.00
7545;0:0:0,!,0.00000,0.00000,0.00;25.6,101627,-25;0.55,0.21,9.27,26.4,5.68,-1.91,0.72;11,-505,-519;25.00,25.25,25.25,25.00
9829;0:0:0,!,0.00000,0.00000,0.00;;0.56,0.29,9.20,26.5,6.40,-1.74,0.42;9,-499,-516;25.00,25.25,25.25,25.00
12145;0:0:0,!,0.00000,0.00000,0.00;25.6,101630,-25;0.57,0.23,9.29,26.6,5.56,-2.93,0.54;9,-506,-517;25.00,25.25,25.25,25.00
14471;0:0:0,!,0.00000,0.00000,0.00;25.6,101621,-25;0.53,0.20,9.28,26.7,5.50,-1.74,0.54;9,-501,-517;25.00,25.25,25.25,25.00
16788;0:0:0,!,0.00000,0.00000,0.00;25.6,101630,-25;0.63,0.20,9.36,26.6,5.80,-1.97,0.54;12,-503,-518;25.25,25.25,25.25,25.00
19105;0:0:0,!,0.00000,0.00000,0.00;25.6,101621,-25;0.65,0.15,9.33,26.8,5.62,-1.79,0.60;15,-502,-519;25.25,25.25,25.25,25.25
21424;0:0:0,!,0.00000,0.00000,0.00;25.6,101624,-25;0.57,0.26,9.40,26.7,5.68,-1.85,0.54;13,-505,-518;25.25,25.25,25.25,25.00
23749;0:0:0,!,0.00000,0.00000,0.00;25.6,101618,-24;0.58,0.18,9.36,26.7,5.74,-1.79,0.48;13,-504,-520;25.25,25.25,25.25,25.00
26066;0:0:0,!,0.00000,0.00000,0.00;25.6,101621,-25;0.57,0.23,9.22,26.8,5.44,-1.79,0.48;9,-501,-520;25.00,25.25,25.25,25.25
28385;0:0:0,!,0.00000,0.00000,0.00;25.6,101630,-25;0.58,0.26,9.39,26.9,5.56,-1.85,0.54;8,-502,-518;25.25,25.25,25.25,25.00
30703;0:0:0,!,0.00000,0.00000,0.00;25.6,101624,-25;0.56,0.19,9.35,26.8,5.68,-1.79,0.54;10,-503,-519;25.00,25.25,25.25,25.00
33026;0:0:0,!,0.00000,0.00000,0.00;25.6,101630,-25;0.56,0.21,9.30,27.0,5.62,-2.03,0.48;9,-499,-521;25.00,25.25,25.25,25.00
35343;0:0:0,!,0.00000,0.00000,0.00;25.6,101614,-24;0.58,0.25,9.37,26.9,5.56,-1.91,0.36;12,-503,-519;25.00,25.25,25.25,25.00
37661;0:0:0,!,0.00000,0.00000,0.00;25.6,101618,-24;0.58,0.25,9.22,27.0,5.44,-1.79,0.48;;25.25,25.25,25.25,25.00
39976;0:0:0,!,0.00000,0.00000,0.00;25.6,101633,-26;0.56,0.18,9.47,27.0,5.56,-1.91,0.48;9,-503,-521;25.00,25.25,25.25,25.00
42295;0:0:0,!,0.00000,0.00000,0.00;25.6,101624,-25;0.57,0.26,9.30,26.9,5.56,-1.79,0.48;13,-499,-521;25.00,25.25,25.25,25.00
44620;0:0:0,!,0.00000,0.00000,0.00;25.6,101627,-25;0.58,0.24,9.37,26.8,5.56,-1.91,0.60;11,-500,-520;25.00,25.25,25.25,25.00
46959;0:0:0,!,0.00000,0.00000,0.00;25.6,101630,-25;0.61,0.19,9.36,26.9,5.50,-1.79,0.30;11,-502,-521;25.00,25.25,25.25,25.00
